id,bank,addr,n,japanese,korean
q_10B774,10,B774,1,(marks), 
q_10AE08,10,AE08,5,ホシション,포지션
q_10AE12,10,AE12,2,(marks), 
q_10B148,10,B148,6,ハッティンク,타격
q_10B154,10,B154,6,(marks), 
q_10B1EA,10,B1EA,5,ヒッチンク,피칭
q_10B1F4,10,B1F4,5,(marks), 
q_10B25A,10,B25A,3,しゅひ,수비
q_10B260,10,B260,3,(marks), 
q_10B2DA,10,B2DA,3,か_た,어깨
q_10B31E,10,B31E,3,あ_し,다리
q_10B35E,10,B35E,5,こんしょう,근성
q_10B368,10,B368,3,(marks), 
q_10B394,10,B394,7,そうひアイテム,장비 아이템
q_10B3A2,10,B3A2,3,(marks), 
q_10B724,10,B724,3,け_か,부상
q_10B72A,10,B72A,3,(marks), 
q_10B7B4,10,B7B4,1,<F7>,
q_10B7B6,10,B7B6,1,<F7>,
q_10AE54,10,AE54,8,オールマイティー,올마이티
q_10AE66,10,AE66,1,(marks), 
q_10AE6A,10,AE6A,11,ヒッチャーはまもれない,투수 불가
q_10AE82,10,AE82,1,(marks), 
q_10AE86,10,AE86,12,キャッチャーはまもれない,포수 불가
q_10AEA0,10,AEA0,1,(marks), 
q_10AEBC,10,AEBC,1,(marks), 
q_10AEC0,10,AEC0,10,セカントはまもれない,2루수 불가
q_10AED6,10,AED6,4,(marks), 
q_10AEE0,10,AEE0,9,サートはまもれない,3루수 불가
q_10AEF4,10,AEF4,3,(marks), 
q_10AEFC,10,AEFC,10,ショートはまもれない,유격수 불가
q_10AF12,10,AF12,1,(marks), 
q_10AF16,10,AF16,9,レフトはまもれない,좌익수 불가
q_10AF2A,10,AF2A,1,(marks), 
q_10AF2E,10,AF2E,10,センターはまもれない,중견수 불가
q_10AF44,10,AF44,1,(marks), 
q_10AF48,10,AF48,9,ライトはまもれない,우익수 불가
q_10AF5C,10,AF5C,1,(marks), 
q_10AF60,10,AF60,10,ヒッチャーはまもれる,투수 가능
q_10AF76,10,AF76,1,(marks), 
q_10AF7A,10,AF7A,11,キャッチャーはまもれる,포수 가능
q_10AF92,10,AF92,1,(marks), 
q_10AF96,10,AF96,10,ファーストはまもれる,1루수 가능
q_10AFAC,10,AFAC,1,(marks), 
q_10AFB0,10,AFB0,9,セカントはまもれる,2루수 가능
q_10AFC4,10,AFC4,4,(marks), 
q_10AFCE,10,AFCE,8,サートはまもれる,3루수 가능
q_10AFE0,10,AFE0,3,(marks), 
q_10AFE8,10,AFE8,9,ショートはまもれる,유격수 가능
q_10AFFC,10,AFFC,1,(marks), 
q_10B000,10,B000,8,レフトはまもれる,좌익수 가능
q_10B012,10,B012,1,(marks), 
q_10B016,10,B016,9,センターはまもれる,중견수 가능
q_10B02A,10,B02A,1,(marks), 
q_10B02E,10,B02E,8,ライトはまもれる,우익수 가능
q_10B040,10,B040,1,(marks), 
q_10B044,10,B044,7,ないやかとくい,내야 특기
q_10B054,10,B054,4,(marks), 
q_10B05E,10,B05E,7,かいやかとくい,외야 특기
q_10B06E,10,B06E,4,(marks), 
q_10B078,10,B078,8,おもにヒッチャー,주로 투수
q_10B094,10,B094,9,おもにキャッチャー,주로 포수
q_10B0A8,10,B0A8,1,(marks), 
q_10B0AC,10,B0AC,8,おもにファースト,주로 1루수
q_10B0BE,10,B0BE,1,(marks), 
q_10B0C2,10,B0C2,7,おもにセカント,주로 2루수
q_10B0D2,10,B0D2,7,(marks), 
q_10B0E2,10,B0E2,6,おもにサート,주로 3루수
q_10B0F0,10,B0F0,6,(marks), 
q_10B0FE,10,B0FE,7,おもにショート,주로 유격수
q_10B10E,10,B10E,1,(marks), 
q_10B112,10,B112,6,おもにレフト,주로 좌익수
q_10B120,10,B120,1,(marks), 
q_10B124,10,B124,7,おもにセンター,주로 중견수
q_10B134,10,B134,1,(marks), 
q_10B1CE,10,B1CE,1,(marks), 
q_10B1D2,10,B1D2,3,ふつう,보통
q_10B1DA,10,B1DA,1,(marks), 
q_10B1DE,10,B1DE,4,よくない,나쁨
q_10B1E8,10,B1E8,1,(marks), 
q_10B208,10,B208,6,エースクラス,에이스급
q_10B216,10,B216,1,(marks), 
q_10B21A,10,B21A,7,リリーフクラス,구원급
q_10B22A,10,B22A,1,(marks), 
q_10B22E,10,B22E,7,そこそここなす,그럭저럭
q_10B23E,10,B23E,1,(marks), 
q_10B242,10,B242,7,とくいてはない,서투름
q_10B252,10,B252,4,(marks), 
q_10B274,10,B274,4,ハツクン,발군
q_10B27E,10,B27E,3,(marks), 
q_10B286,10,B286,4,そこそこ,그럭저럭
q_10B290,10,B290,1,(marks), 
q_10B294,10,B294,6,コロかうまい,땅볼 능숙
q_10B2A2,10,B2A2,3,(marks), 
q_10B2AA,10,B2AA,7,フライかうまい,뜬공 능숙
q_10B2BA,10,B2BA,4,(marks), 
q_10B2C4,10,B2C4,3,ふつう,보통
q_10B2CC,10,B2CC,1,(marks), 
q_10B2D0,10,B2D0,3,へ_た,서툼
q_10B2D8,10,B2D8,1,(marks), 
q_10B2EA,10,B2EA,5,きょうけん,강견
q_10B2F6,10,B2F6,1,(marks), 
q_10B2FA,10,B2FA,4,まあまあ,그럭저럭
q_10B304,10,B304,1,(marks), 
q_10B308,10,B308,3,ふつう,보통
q_10B310,10,B310,1,(marks), 
q_10B314,10,B314,3,わるい,나쁨
q_10B31C,10,B31C,1,(marks), 
q_10B32E,10,B32E,3,はやい,빠름
q_10B336,10,B336,1,(marks), 
q_10B33A,10,B33A,4,まあまあ,그럭저럭
q_10B344,10,B344,1,(marks), 
q_10B348,10,B348,3,ふつう,보통
q_10B350,10,B350,1,(marks), 
q_10B354,10,B354,3,おそい,느림
q_10B35C,10,B35C,1,(marks), 
q_10B376,10,B376,2,ある,있음
q_10B37C,10,B37C,1,(marks), 
q_10B380,10,B380,3,ふつう,보통
q_10B388,10,B388,1,(marks), 
q_10B38C,10,B38C,2,ない,없음
q_10B392,10,B392,1,(marks), 
q_10B3EC,10,B3EC,2,なし,없음
q_10B3F2,10,B3F2,1,(marks), 
q_10B3F6,10,B3F6,7,ユキタのハット,유키타의 배트
q_10B406,10,B406,5,(marks), 
q_10B412,10,B412,7,エクスカリハー,엑스칼리버
q_10B422,10,B422,6,(marks), 
q_10B430,10,B430,6,ミートくん5,미트군5
q_10B43E,10,B43E,1,(marks), 
q_10B442,10,B442,7,ミートくん10,미트군10
q_10B452,10,B452,1,(marks), 
q_10B456,10,B456,8,ナイスハントくん,나이스번트군
q_10B468,10,B468,4,(marks), 
q_10B472,10,B472,7,かみさまのつえ,신의 지팡이
q_10B482,10,B482,1,(marks), 
q_10B486,10,B486,7,ミラクルロット,미라클 로드
q_10B496,10,B496,7,(marks), 
q_10B4A6,10,B4A6,7,チャンスロット,찬스 로드
q_10B4B6,10,B4B6,7,(marks), 
q_10B4C6,10,B4C6,8,ストレートキラー,스트레이트 킬러
q_10B4D8,10,B4D8,1,(marks), 
q_10B4DC,10,B4DC,7,えとっこハット,에도코 배트
q_10B4EC,10,B4EC,5,(marks), 
q_10B4F8,10,B4F8,7,よいこのクラフ,착한 글러브
q_10B508,10,B508,7,(marks), 
q_10B518,10,B518,6,コットハント,갓 핸드
q_10B526,10,B526,6,(marks), 
q_10B534,10,B534,6,オーラクラフ,오라 글러브
q_10B542,10,B542,6,(marks), 
q_10B550,10,B550,7,ハトルクローフ,배틀 글러브
q_10B560,10,B560,7,(marks), 
q_10B570,10,B570,8,シャストフィット,저스트 핏
q_10B582,10,B582,1,(marks), 
q_10B586,10,B586,7,オールラウント,올라운드
q_10B596,10,B596,7,(marks), 
q_10B5A6,10,B5A6,8,ヒッチャークラフ,투수 글러브
q_10B5B8,10,B5B8,8,(marks), 
q_10B5CA,10,B5CA,4,PQU1,PQU1
q_10B5D4,10,B5D4,1,(marks), 
q_10B5D8,10,B5D8,4,PQU2,PQU2
q_10B5E2,10,B5E2,1,(marks), 
q_10B5E6,10,B5E6,3,サスケ,사스케
q_10B5EE,10,B5EE,1,(marks), 
q_10B5F2,10,B5F2,3,ハヤテ,하야테
q_10B5FA,10,B5FA,1,(marks), 
q_10B5FE,10,B5FE,7,オーラシュース,오라 슈즈
q_10B60E,10,B60E,7,(marks), 
