id,japanese,korean,tl,tr,bl,br,bg
loc_熱,熱,열,fff7ff81fff7ff81ffebff99fff7ff81f7f78181f7f78181ebeb9999f7f78181,ffdfffdfffdfff07ffd7ffd7ff57ffb7dfdfdfdfdfdf0707d7d7d7d75757b7b7,fff7ffe3ff8effffffdbffbdffbdfffff7f7e3e38e8effffdbdbbdbdbdbdffff,ff95ff73fffffff7ffbbffddffddffff95957373fffff7f7bbbbddddddddffff,15
loc_血,血,혈,fffefffdfffbffc0ffdbffdbffdbffdbfefefdfdfbfbc0c0dbdbdbdbdbdbdbdb,ffffffffffffff0fff6fff6fff6fff6fffffffffffff0f0f6f6f6f6f6f6f6f6f,ffdbffdbffdbffdbffdbff00ffffffffdbdbdbdbdbdbdbdbdbdb0000ffffffff,ff6fff6fff6fff6fff6fff01ffffffff6f6f6f6f6f6f6f6f6f6f0101ffffffff,15
loc_高,高,고,fffefffeff00fffffff0fff7fff0fffffefefefe0000fffff0f0f7f7f0f0ffff,ffffffffff01ffffff1fffdfff1fffffffffffff0101ffff1f1fdfdf1f1fffff,ff80ffbfffb0ffb7ffb0ffb7ffbfffff8080bfbfb0b0b7b7b0b0b7b7bfbfffff,ff01fffdff1dffddff1dffddfff3ffff0101fdfd1d1ddddd1d1dddddf3f3ffff,15
loc_校,校,교,ffefffefffefff82ffefffcfffc6ffcbefefefefefef8282efefcfcfc6c6cbcb,ffdfffdfffdfff01ffffff67fffbffffdfdfdfdfdfdf0101ffff6767fbfbffff,ffafffafffafff6fffefffefffecffffafafafafafaf6f6fefefefefececffff,ff77ff77ffafffdfffafff77fff8ffff77777777afafdfdfafaf7777f8f8ffff,15
loc_虹,虹,니지,fffffff7fff6fff7ff80ffb6ffb6ffb6fffff7f7f6f6f7f78080b6b6b6b6b6b6,ffffffffff03ffdfffdfffdfffdfffdfffffffff0303dfdfdfdfdfdfdfdfdfdf,ff80fff7fff7fff6fff0ff8ffffcffff8080f7f7f7f7f6f6f0f08f8ffcfcffff,ffdfffdfffdfffdfffdfffdfff01ffffdfdfdfdfdfdfdfdfdfdfdfdf0101ffff,15
loc_が,が,가,fffffffcfffefffdfffdfffbff80fff7fffffcfcfefefdfdfdfdfbfb8080f7f7,fffffff9fffdfff3fffbffeffff7ff7bfffff9f9fdfdf3f3fbfbefeff7f77b7b,fff7ffefffefffdeffbefff9fffdfffff7f7efefefefdedebebef9f9fdfdffff,ff71ff7fff7fffffffffffffffffffff71717f7f7f7fffffffffffffffffffff,15
loc_丘,丘,오카,fffffffffffefff9fff7fff7fff7fff0fffffffffefef9f9f7f7f7f7f7f7f0f0,ffffff9fff7fffffffffffffffffff03ffff9f9f7f7fffffffffffffffff0303,fff7fff7fff7fff7fff7fff7ff80fffff7f7f7f7f7f7f7f7f7f7f7f78080ffff,ffbfffbfffbfffbfffbfffbfff01ffffbfbfbfbfbfbfbfbfbfbfbfbf0101ffff,15
loc_丁,丁,초,ffffffffffffffc0ffffffffffffffffffffffffffffc0c0ffffffffffffffff,ffffffffffffff03ffbfffbfffbfffbfffffffffffff0303bfbfbfbfbfbfbfbf,fffffffffffffffffffffffffffcfffffffffffffffffffffffffffffcfcffff,ffbfffbfffbfffbfffbfffbfff7fffffbfbfbfbfbfbfbfbfbfbfbfbf7f7fffff,15
loc_目,目,메,ffffffffffe0ffefffefffefffe0ffefffffffffe0e0efefefefefefe0e0efef,ffffffffff07fff7fff7fff7ff07fff7ffffffff0707f7f7f7f7f7f70707f7f7,ffefffefffe0ffefffefffefffe0ffffefefefefe0e0efefefefefefe0e0ffff,fff7fff7ff07fff7fff7fff7ff07fffff7f7f7f70707f7f7f7f7f7f70707ffff,15
loc_里,里,리,ff00ff00ff00ff00ff00ff00ff00ff00ffffffffe0e0eeeeeeeee0e0eeeeeeee,ff00ff00ff00ff00ff00ff00ff00ff00ffffffff0f0fefefefef0f0fefefefef,ff00ff00ff00ff00ff00ff00ff00ff00e0e0fefefefec0c0fefefefe8080ffff,ff00ff00ff00ff00ff00ff00ff00ff000f0fffffffff0707ffffffff0303ffff,13
