id,table,offset,length,japanese,korean
surname_000,surname,030358,5,すがた,스가타
surname_001,surname,03035D,7,いちじょう,이치조
surname_002,surname,030364,4,ななせ,나나세
surname_003,surname,030368,6,たちばな,타치바나
surname_004,surname,03036E,4,あかい,아카이
surname_005,surname,030372,6,かげたに,카게타니
surname_006,surname,030378,6,とどろき,토도로키
surname_007,surname,03037E,7,かざまつり,카자마츠리
surname_008,surname,030385,5,はまさき,하마사키
surname_009,surname,03038A,5,たかみね,타카미네
surname_010,surname,03038F,5,もりもと,모리모토
surname_011,surname,030394,4,さえき,사에키
surname_012,surname,030398,7,みどりむら,미도리무라
surname_013,surname,03039F,4,にった,닛타
surname_014,surname,0303A3,4,くにお,쿠니오
surname_015,surname,0303A7,7,際際(0F),
surname_016,surname,0303AE,5,さおとめ,사오토메
surname_017,surname,0303B3,4,よしの,요시노
surname_018,surname,0303B7,4,わしお,와시오
surname_019,surname,0303BB,3,りき,리키
surname_020,surname,0303BE,5,まえだ,마에다
surname_021,surname,0303C3,5,いしやま,이시야마
surname_022,surname,0303C8,4,くらた,쿠라타
surname_023,surname,0303CC,5,しみず,시미즈
surname_024,surname,0303D1,5,みたむら,미타무라
surname_025,surname,0303D6,6,こんどう,콘도
surname_026,surname,0303DC,4,あらい,아라이
surname_027,surname,0303E0,4,ごう,고
surname_028,surname,0303E4,5,なかむら,나카무라
surname_029,surname,0303E9,4,しらい,시라이
surname_030,surname,0303ED,7,際際(1E),
surname_031,surname,0303F4,7,際際(1F),
surname_032,surname,0303FB,4,だて,다테
surname_033,surname,0303FF,5,しのはら,시노하라
surname_034,surname,030404,5,おおしま,오오시마
surname_035,surname,030409,5,むらさき,무라사키
surname_036,surname,03040E,7,つじどう,츠지도
surname_037,surname,030415,5,なかにし,나카니시
surname_038,surname,03041A,6,ごうだ,고다
surname_039,surname,030420,7,わかばやし,와카바야시
surname_040,surname,030427,3,ほし,호시
surname_041,surname,03042A,5,たけだ,타케다
surname_042,surname,03042F,5,もりわき,모리와키
surname_043,surname,030434,6,あまのかわ,아마노카와
surname_044,surname,03043A,6,なかじま,나카지마
surname_045,surname,030440,7,おがさわら,오가사와라
surname_046,surname,030447,4,なみき,나미키
surname_047,surname,03044B,7,際際(2F),
surname_048,surname,030452,4,あおた,아오타
surname_049,surname,030456,6,かじもと,카지모토
surname_050,surname,03045C,5,のぐち,노구치
surname_051,surname,030461,5,おぐま,오구마
surname_052,surname,030466,5,かんぬき,칸누키
surname_053,surname,03046B,5,おおおか,오오오카
surname_054,surname,030470,8,こぶちざわ,코부치자와
surname_055,surname,030478,4,さくら,사쿠라
surname_056,surname,03047C,5,はなだ,하나다
surname_057,surname,030481,6,かざおか,카자오카
surname_058,surname,030487,5,こだち,코다치
surname_059,surname,03048C,3,すや,스야
surname_060,surname,03048F,7,際際(3C),
surname_061,surname,030496,7,際際(3D),
surname_062,surname,03049D,7,際際(3E),
surname_063,surname,0304A4,7,際際(3F),
surname_064,surname,0304AB,5,おうじ,오지
surname_065,surname,0304B0,5,みたらい,미타라이
surname_066,surname,0304B5,6,さわぐち,사와구치
surname_067,surname,0304BB,5,にしむら,니시무라
surname_068,surname,0304C0,6,けんどう,켄도
surname_069,surname,0304C6,5,せんたに,센타니
surname_070,surname,0304CB,5,たけうち,타케우치
surname_071,surname,0304D0,5,なんば,난바
